TICKET_ID,CUSTOMER_ID,PURCHASE_DATE,PROMO_APPLIED ,CATEGORY_OF_TICKET_ID,CATEGORY_OF_TICKET_DESC,PAYMENT_METHOD_ID,PAYMENT_METHOD_DESC,PURCHASE_MODE ,PRICE
70,CD0150,11-01-2020,1,2,Parking ticket,2,Credit Card,Offline,20
71,CD0085,25-11-2019,0,1,Annual pass,1,Cash,Online,800
72,CD0051,22-03-2020,1,3,Daily Pass,4,Online Payment,Offline,120
73,CD0093,11-04-2020,1,3,Daily Pass,3,Debit Card,Online,120
74,CD0059,19-02-2020,1,3,Daily Pass,4,Online Payment,Online,120
75,CD0035,15-06-2020,1,3,Daily Pass,1,Cash,Offline,120
76,CD0027,10-06-2020,0,3,Daily Pass,2,Credit Card,Online,150
77,CD0056,20-03-2020,0,2,Parking ticket,2,Credit Card,Offline,20
78,CD0071,15-12-2019,1,1,Annual pass,4,Online Payment,Online,700
79,CD0103,22-07-2020,0,3,Daily Pass,1,Cash,Online,150
80,CD0119,25-02-2020,1,2,Parking ticket,1,Cash,Online,20
81,CD0021,09-02-2020,0,2,Parking ticket,4,Online Payment,Online,20
82,CD0137,07-07-2020,0,3,Daily Pass,4,Online Payment,Offline,150
83,CD0025,24-03-2020,1,1,Annual pass,2,Credit Card,Offline,700
84,CD0120,04-01-2020,1,3,Daily Pass,1,Cash,Offline,120
85,CD0135,27-05-2020,0,2,Parking ticket,4,Online Payment,Offline,20
86,CD0071,09-11-2019,0,2,Parking ticket,1,Cash,Offline,20
87,CD0106,23-04-2020,0,1,Annual pass,1,Cash,Offline,800
88,CD0052,06-01-2020,1,2,Parking ticket,1,Cash,Offline,20
89,CD0107,22-03-2020,1,3,Daily Pass,3,Debit Card,Offline,120
90,CD0066,21-07-2020,0,3,Daily Pass,4,Online Payment,Offline,150
91,CD0052,11-03-2020,0,2,Parking ticket,3,Debit Card,Offline,20
92,CD0133,31-05-2020,0,1,Annual pass,1,Cash,Online,800
93,CD0013,17-12-2019,1,1,Annual pass,4,Online Payment,Offline,700
94,CD0023,04-01-2020,0,1,Annual pass,1,Cash,Online,800
95,CD0094,05-01-2020,0,2,Parking ticket,3,Debit Card,Offline,20
96,CD0022,18-02-2020,1,1,Annual pass,1,Cash,Online,700
97,CD0037,25-07-2020,1,2,Parking ticket,2,Credit Card,Offline,20
98,CD0030,21-11-2019,0,1,Annual pass,3,Debit Card,Offline,800
99,CD0010,08-11-2019,1,2,Parking ticket,3,Debit Card,Offline,20
100,CD0053,24-01-2020,1,2,Parking ticket,2,Credit Card,Offline,20
101,CD0011,12-12-2019,1,3,Daily Pass,3,Debit Card,Offline,120
102,CD0078,04-02-2020,0,1,Annual pass,1,Cash,Online,800
103,CD0147,22-06-2020,1,1,Annual pass,2,Credit Card,Offline,700
104,CD0008,23-01-2020,1,2,Parking ticket,4,Online Payment,Offline,20
105,CD0131,09-12-2019,0,1,Annual pass,4,Online Payment,Offline,800
106,CD0005,01-01-2020,0,3,Daily Pass,4,Online Payment,Offline,150
107,CD0135,28-06-2020,0,1,Annual pass,4,Online Payment,Online,800
108,CD0048,19-03-2020,1,1,Annual pass,3,Debit Card,Offline,700
109,CD0142,08-06-2020,1,1,Annual pass,4,Online Payment,Online,700
110,CD0028,25-07-2020,0,1,Annual pass,1,Cash,Online,800
111,CD0073,08-07-2020,1,3,Daily Pass,4,Online Payment,Online,120
112,CD0002,30-05-2020,1,1,Annual pass,2,Credit Card,Online,700
113,CD0098,06-02-2020,1,2,Parking ticket,4,Online Payment,Offline,20
114,CD0035,27-07-2020,0,2,Parking ticket,1,Cash,Online,20
115,CD0086,25-11-2019,0,3,Daily Pass,3,Debit Card,Online,150
116,CD0060,14-07-2020,0,2,Parking ticket,1,Cash,Online,20
117,CD0147,30-06-2020,0,1,Annual pass,2,Credit Card,Online,800
118,CD0098,07-03-2020,0,2,Parking ticket,4,Online Payment,Offline,20
119,CD0101,04-06-2020,0,3,Daily Pass,1,Cash,Online,150
120,CD0054,29-02-2020,1,3,Daily Pass,1,Cash,Online,120
121,CD0119,13-12-2019,1,1,Annual pass,3,Debit Card,Online,700
122,CD0028,20-06-2020,1,2,Parking ticket,3,Debit Card,Online,20
123,CD0039,18-03-2020,1,3,Daily Pass,2,Credit Card,Online,120
124,CD0006,10-07-2020,0,3,Daily Pass,2,Credit Card,Offline,150
125,CD0115,14-01-2020,0,2,Parking ticket,2,Credit Card,Offline,20
126,CD0066,10-07-2020,1,1,Annual pass,4,Online Payment,Offline,700
127,CD0027,26-07-2020,0,1,Annual pass,3,Debit Card,Online,800
128,CD0123,15-04-2020,0,3,Daily Pass,1,Cash,Offline,150
129,CD0047,08-04-2020,1,1,Annual pass,1,Cash,Offline,700
130,CD0046,11-04-2020,1,2,Parking ticket,1,Cash,Offline,20
131,CD0150,14-01-2020,0,2,Parking ticket,1,Cash,Online,20
132,CD0018,16-06-2020,1,3,Daily Pass,4,Online Payment,Online,120
133,CD0075,16-05-2020,1,1,Annual pass,1,Cash,Offline,700
134,CD0022,01-04-2020,1,2,Parking ticket,2,Credit Card,Offline,20
135,CD0145,24-04-2020,0,1,Annual pass,4,Online Payment,Offline,800
136,CD0031,03-08-2020,1,3,Daily Pass,1,Cash,Offline,120
137,CD0090,22-03-2020,1,1,Annual pass,4,Online Payment,Online,700
138,CD0126,19-01-2020,1,1,Annual pass,2,Credit Card,Offline,700
139,CD0144,24-12-2019,0,2,Parking ticket,2,Credit Card,Offline,20
140,CD0098,25-04-2020,0,3,Daily Pass,3,Debit Card,Online,150
141,CD0116,12-04-2020,1,2,Parking ticket,4,Online Payment,Online,20
142,CD0149,23-07-2020,1,1,Annual pass,3,Debit Card,Offline,700
143,CD0054,26-06-2020,1,2,Parking ticket,3,Debit Card,Online,20
144,CD0088,10-12-2019,0,1,Annual pass,2,Credit Card,Offline,800
145,CD0107,04-04-2020,1,3,Daily Pass,1,Cash,Online,120
146,CD0023,08-01-2020,0,1,Annual pass,2,Credit Card,Online,800
147,CD0127,20-04-2020,1,1,Annual pass,1,Cash,Online,700
148,CD0035,26-11-2019,1,3,Daily Pass,3,Debit Card,Online,120
149,CD0130,10-05-2020,1,1,Annual pass,2,Credit Card,Offline,700
150,CD0114,19-01-2020,1,3,Daily Pass,2,Credit Card,Online,120
151,CD0118,23-05-2020,0,3,Daily Pass,2,Credit Card,Online,150
152,CD0087,12-12-2019,1,2,Parking ticket,4,Online Payment,Online,20
153,CD0062,01-11-2019,0,1,Annual pass,2,Credit Card,Offline,800
154,CD0039,22-02-2020,0,3,Daily Pass,1,Cash,Offline,150
155,CD0004,08-12-2019,1,3,Daily Pass,1,Cash,Offline,120
156,CD0037,15-01-2020,0,3,Daily Pass,3,Debit Card,Online,150
157,CD0058,06-03-2020,0,1,Annual pass,4,Online Payment,Online,800
158,CD0091,24-06-2020,1,1,Annual pass,2,Credit Card,Online,700
159,CD0091,02-11-2019,1,3,Daily Pass,2,Credit Card,Online,120
160,CD0145,12-02-2020,1,1,Annual pass,1,Cash,Offline,700
161,CD0144,23-03-2020,0,2,Parking ticket,3,Debit Card,Online,20
162,CD0118,03-12-2019,0,1,Annual pass,1,Cash,Online,800
163,CD0093,27-05-2020,1,3,Daily Pass,4,Online Payment,Offline,120
164,CD0021,06-03-2020,0,3,Daily Pass,3,Debit Card,Offline,150
165,CD0032,29-04-2020,1,2,Parking ticket,4,Online Payment,Online,20
166,CD0041,12-07-2020,1,1,Annual pass,1,Cash,Online,700
167,CD0030,14-11-2019,1,3,Daily Pass,3,Debit Card,Online,120
168,CD0096,28-06-2020,1,1,Annual pass,3,Debit Card,Online,700
169,CD0076,21-07-2020,1,3,Daily Pass,2,Credit Card,Offline,120
170,CD0004,24-05-2020,0,1,Annual pass,4,Online Payment,Online,800
171,CD0148,07-02-2020,0,1,Annual pass,4,Online Payment,Offline,800
172,CD0142,27-11-2019,0,3,Daily Pass,3,Debit Card,Online,150
173,CD0140,05-12-2019,1,2,Parking ticket,2,Credit Card,Offline,20
174,CD0050,28-01-2020,0,3,Daily Pass,1,Cash,Offline,150
175,CD0053,31-07-2020,0,1,Annual pass,3,Debit Card,Online,800
176,CD0087,26-02-2020,1,3,Daily Pass,3,Debit Card,Online,120
177,CD0068,29-03-2020,1,3,Daily Pass,4,Online Payment,Offline,120
178,CD0103,14-07-2020,0,3,Daily Pass,4,Online Payment,Offline,150
179,CD0097,20-01-2020,1,2,Parking ticket,4,Online Payment,Online,20
180,CD0070,08-07-2020,0,3,Daily Pass,2,Credit Card,Online,150
181,CD0008,15-02-2020,1,3,Daily Pass,1,Cash,Online,120
182,CD0128,09-07-2020,0,3,Daily Pass,3,Debit Card,Offline,150
183,CD0111,09-06-2020,1,2,Parking ticket,4,Online Payment,Online,20
184,CD0064,17-07-2020,0,1,Annual pass,1,Cash,Offline,800
185,CD0136,23-04-2020,0,2,Parking ticket,3,Debit Card,Online,20
186,CD0140,19-01-2020,0,2,Parking ticket,2,Credit Card,Offline,20
187,CD0047,20-06-2020,0,2,Parking ticket,2,Credit Card,Online,20
188,CD0077,14-12-2019,1,1,Annual pass,2,Credit Card,Offline,700
189,CD0093,12-08-2020,0,3,Daily Pass,2,Credit Card,Online,150
190,CD0132,13-12-2019,1,2,Parking ticket,1,Cash,Offline,20
191,CD0025,02-06-2020,0,3,Daily Pass,1,Cash,Online,150
192,CD0128,15-02-2020,1,1,Annual pass,2,Credit Card,Online,700
193,CD0095,30-04-2020,0,3,Daily Pass,4,Online Payment,Online,150
194,CD0084,02-02-2020,0,1,Annual pass,2,Credit Card,Offline,800
195,CD0108,23-11-2019,1,2,Parking ticket,2,Credit Card,Offline,20
196,CD0039,13-12-2019,0,3,Daily Pass,3,Debit Card,Offline,150
197,CD0118,10-02-2020,0,2,Parking ticket,4,Online Payment,Offline,20
198,CD0131,15-11-2019,1,1,Annual pass,1,Cash,Offline,700
199,CD0007,11-03-2020,1,3,Daily Pass,3,Debit Card,Online,120
200,CD0098,30-04-2020,1,2,Parking ticket,2,Credit Card,Offline,20
201,CD0073,23-02-2020,0,2,Parking ticket,3,Debit Card,Online,20
202,CD0136,16-06-2020,0,2,Parking ticket,4,Online Payment,Offline,20
203,CD0005,18-01-2020,1,2,Parking ticket,4,Online Payment,Online,20
204,CD0055,23-12-2019,0,1,Annual pass,3,Debit Card,Offline,800
205,CD00010,30-04-2020,1,1,Annual pass,2,Credit Card,Offline,700
206,CD0025,18-02-2020,0,1,Annual pass,4,Online Payment,Offline,800
207,CD0088,20-06-2020,1,3,Daily Pass,3,Debit Card,Offline,120
208,CD0035,28-01-2020,0,1,Annual pass,3,Debit Card,Online,800
209,CD0134,09-05-2020,1,2,Parking ticket,1,Cash,Online,20
210,CD0091,19-07-2020,1,1,Annual pass,1,Cash,Online,700
211,CD0080,12-12-2019,1,2,Parking ticket,1,Cash,Online,20
212,CD0144,12-08-2020,0,2,Parking ticket,1,Cash,Online,20
213,CD0048,01-03-2020,1,2,Parking ticket,3,Debit Card,Online,20
214,CD0106,16-05-2020,1,3,Daily Pass,3,Debit Card,Offline,120
215,CD0055,01-12-2019,1,2,Parking ticket,4,Online Payment,Offline,20
216,CD0020,08-11-2019,0,1,Annual pass,2,Credit Card,Online,800
217,CD0097,31-03-2020,1,1,Annual pass,3,Debit Card,Online,700
218,CD0100,29-12-2019,1,2,Parking ticket,1,Cash,Online,20
219,CD0093,12-12-2019,0,1,Annual pass,3,Debit Card,Online,800
220,CD0097,09-02-2020,1,2,Parking ticket,4,Online Payment,Online,20
221,CD0074,09-01-2020,0,1,Annual pass,3,Debit Card,Online,800
222,CD0076,23-04-2020,1,1,Annual pass,1,Cash,Offline,700
223,CD0046,24-04-2020,0,1,Annual pass,3,Debit Card,Offline,800
224,CD0048,13-02-2020,0,3,Daily Pass,4,Online Payment,Online,150
225,CD0143,27-02-2020,1,1,Annual pass,3,Debit Card,Offline,700
226,CD0040,04-11-2019,1,3,Daily Pass,4,Online Payment,Online,120
227,CD0057,04-02-2020,0,2,Parking ticket,3,Debit Card,Offline,20
228,CD0109,09-04-2020,1,1,Annual pass,4,Online Payment,Offline,700
229,CD0063,02-04-2020,1,1,Annual pass,1,Cash,Offline,700
230,CD0085,09-12-2019,1,1,Annual pass,1,Cash,Online,700
231,CD0124,14-04-2020,1,3,Daily Pass,4,Online Payment,Online,120
232,CD0061,18-01-2020,0,2,Parking ticket,3,Debit Card,Offline,20
233,CD0046,13-02-2020,1,1,Annual pass,4,Online Payment,Online,700
234,CD0092,30-01-2020,1,1,Annual pass,1,Cash,Online,700
235,CD0088,20-07-2020,0,3,Daily Pass,1,Cash,Offline,150
236,CD0022,12-06-2020,0,3,Daily Pass,4,Online Payment,Online,150
237,CD0113,22-05-2020,1,2,Parking ticket,4,Online Payment,Online,20
238,CD0050,03-03-2020,0,3,Daily Pass,1,Cash,Offline,150
239,CD0039,13-08-2020,0,3,Daily Pass,3,Debit Card,Offline,150
240,CD0060,02-06-2020,1,2,Parking ticket,4,Online Payment,Offline,20
241,CD0150,20-12-2019,0,2,Parking ticket,3,Debit Card,Offline,20
242,CD0124,18-03-2020,1,1,Annual pass,4,Online Payment,Offline,700
243,CD0008,12-05-2020,1,2,Parking ticket,2,Credit Card,Online,20
244,CD0067,22-02-2020,1,3,Daily Pass,2,Credit Card,Online,120
245,CD0095,29-07-2020,0,1,Annual pass,3,Debit Card,Offline,800
246,CD0089,02-02-2020,1,3,Daily Pass,3,Debit Card,Online,120
247,CD0040,25-11-2019,1,2,Parking ticket,2,Credit Card,Offline,20
248,CD0014,27-07-2020,1,2,Parking ticket,4,Online Payment,Offline,20
249,CD0025,12-07-2020,1,2,Parking ticket,3,Debit Card,Offline,20
250,CD0014,24-06-2020,1,1,Annual pass,3,Debit Card,Online,700
251,CD0068,25-11-2019,1,1,Annual pass,4,Online Payment,Online,700
252,CD0129,19-04-2020,0,2,Parking ticket,3,Debit Card,Offline,20
253,CD0094,14-03-2020,0,3,Daily Pass,4,Online Payment,Offline,150
254,CD0019,15-05-2020,0,1,Annual pass,2,Credit Card,Offline,800
255,CD0053,15-11-2019,1,2,Parking ticket,4,Online Payment,Online,20
256,CD0107,19-03-2020,0,3,Daily Pass,4,Online Payment,Offline,150
257,CD0081,05-07-2020,0,3,Daily Pass,2,Credit Card,Online,150
258,CD0049,29-06-2020,0,3,Daily Pass,4,Online Payment,Offline,150
259,CD0085,26-02-2020,1,1,Annual pass,4,Online Payment,Offline,700
260,CD0092,22-11-2019,1,1,Annual pass,1,Cash,Offline,700
261,CD0034,29-12-2019,0,3,Daily Pass,4,Online Payment,Offline,150
262,CD0147,11-04-2020,1,2,Parking ticket,1,Cash,Online,20
263,CD0027,01-03-2020,1,3,Daily Pass,4,Online Payment,Offline,120
264,CD0031,23-04-2020,0,3,Daily Pass,2,Credit Card,Online,150
265,CD0008,11-01-2020,0,2,Parking ticket,2,Credit Card,Offline,20
266,CD0058,04-07-2020,1,2,Parking ticket,1,Cash,Offline,20
267,CD0120,25-12-2019,1,1,Annual pass,3,Debit Card,Online,700
268,CD0037,19-06-2020,0,1,Annual pass,1,Cash,Offline,800
269,CD0113,30-03-2020,0,2,Parking ticket,2,Credit Card,Online,20
270,CD0144,07-08-2020,0,1,Annual pass,1,Cash,Online,800
271,CD0106,21-06-2020,1,2,Parking ticket,1,Cash,Offline,20
272,CD0037,27-02-2020,0,3,Daily Pass,1,Cash,Online,150
273,CD0058,01-08-2020,1,1,Annual pass,1,Cash,Online,700
274,CD0127,11-03-2020,1,2,Parking ticket,1,Cash,Offline,20
275,CD0127,05-05-2020,0,3,Daily Pass,1,Cash,Offline,150
276,CD0139,21-07-2020,0,1,Annual pass,1,Cash,Online,800
277,CD0091,26-06-2020,1,1,Annual pass,2,Credit Card,Offline,700
278,CD0072,11-03-2020,0,1,Annual pass,4,Online Payment,Online,800
279,CD0112,12-02-2020,0,2,Parking ticket,1,Cash,Offline,20
280,CD0087,03-04-2020,1,1,Annual pass,4,Online Payment,Offline,700
281,CD0031,11-06-2020,0,1,Annual pass,1,Cash,Offline,800
282,CD0141,04-02-2020,1,3,Daily Pass,3,Debit Card,Online,120
283,CD0017,27-05-2020,0,2,Parking ticket,4,Online Payment,Offline,20
284,CD0016,18-02-2020,1,2,Parking ticket,1,Cash,Offline,20
285,CD0146,05-06-2020,1,1,Annual pass,4,Online Payment,Offline,700
286,CD0073,07-03-2020,1,2,Parking ticket,1,Cash,Offline,20
287,CD0122,04-02-2020,1,2,Parking ticket,4,Online Payment,Offline,20
288,CD0012,27-12-2019,0,1,Annual pass,2,Credit Card,Online,800
289,CD0059,17-01-2020,1,1,Annual pass,3,Debit Card,Online,700
290,CD0064,16-07-2020,1,1,Annual pass,1,Cash,Online,700
291,CD0034,27-05-2020,0,1,Annual pass,4,Online Payment,Online,800
292,CD0037,26-05-2020,0,3,Daily Pass,3,Debit Card,Online,150
293,CD0107,08-08-2020,0,2,Parking ticket,3,Debit Card,Offline,20
294,CD0140,06-04-2020,0,1,Annual pass,3,Debit Card,Offline,800
295,CD0099,06-12-2019,0,3,Daily Pass,4,Online Payment,Offline,150
296,CD0045,18-12-2019,1,1,Annual pass,3,Debit Card,Online,700
297,CD0012,16-05-2020,0,3,Daily Pass,2,Credit Card,Online,150
298,CD0074,11-06-2020,1,1,Annual pass,4,Online Payment,Online,700
299,CD0047,18-02-2020,1,1,Annual pass,1,Cash,Offline,700
300,CD0147,14-02-2020,0,2,Parking ticket,3,Debit Card,Offline,20
301,CD0140,21-04-2020,0,2,Parking ticket,1,Cash,Online,20
302,CD0110,04-11-2019,0,1,Annual pass,1,Cash,Offline,800
303,CD0135,14-05-2020,1,2,Parking ticket,4,Online Payment,Offline,20
304,CD0030,16-03-2020,0,1,Annual pass,4,Online Payment,Offline,800
305,CD0024,06-01-2020,0,3,Daily Pass,2,Credit Card,Offline,150
306,CD0020,25-12-2019,1,2,Parking ticket,2,Credit Card,Offline,20
307,CD0147,20-01-2020,0,1,Annual pass,2,Credit Card,Online,800
308,CD0149,19-12-2019,1,3,Daily Pass,2,Credit Card,Offline,120
309,CD0007,04-04-2020,0,2,Parking ticket,4,Online Payment,Online,20
310,CD0146,07-11-2019,1,1,Annual pass,4,Online Payment,Offline,700
311,CD0017,14-07-2020,1,1,Annual pass,3,Debit Card,Online,700
312,CD0082,19-05-2020,1,3,Daily Pass,4,Online Payment,Online,120
313,CD0036,28-01-2020,0,1,Annual pass,4,Online Payment,Online,800
314,CD0035,12-11-2019,1,2,Parking ticket,3,Debit Card,Online,20
315,CD0006,09-05-2020,0,1,Annual pass,2,Credit Card,Offline,800
316,CD0056,17-03-2020,0,2,Parking ticket,4,Online Payment,Offline,20
317,CD0006,27-04-2020,0,2,Parking ticket,2,Credit Card,Online,20
318,CD0077,08-06-2020,1,2,Parking ticket,4,Online Payment,Online,20
319,CD0149,28-02-2020,1,2,Parking ticket,2,Credit Card,Offline,20
320,CD0013,07-11-2019,1,3,Daily Pass,1,Cash,Offline,120
321,CD0018,07-08-2020,0,2,Parking ticket,3,Debit Card,Online,20
322,CD0005,20-11-2019,1,1,Annual pass,4,Online Payment,Offline,700
323,CD0125,09-05-2020,1,2,Parking ticket,2,Credit Card,Offline,20
324,CD0099,04-02-2020,1,3,Daily Pass,1,Cash,Offline,120
325,CD0140,08-02-2020,1,2,Parking ticket,2,Credit Card,Online,20
326,CD0085,20-05-2020,1,2,Parking ticket,3,Debit Card,Online,20
327,CD0052,30-06-2020,0,2,Parking ticket,2,Credit Card,Online,20
328,CD0084,22-04-2020,0,1,Annual pass,3,Debit Card,Offline,800
329,CD0009,27-03-2020,1,3,Daily Pass,4,Online Payment,Online,120
330,CD0148,12-04-2020,0,3,Daily Pass,3,Debit Card,Online,150
331,CD0101,17-01-2020,1,2,Parking ticket,1,Cash,Offline,20
332,CD0005,28-02-2020,0,3,Daily Pass,3,Debit Card,Offline,150
333,CD0103,06-01-2020,0,3,Daily Pass,1,Cash,Offline,150
334,CD0141,03-06-2020,0,3,Daily Pass,1,Cash,Offline,150
335,CD0047,19-07-2020,1,3,Daily Pass,2,Credit Card,Online,120
336,CD0035,10-02-2020,0,2,Parking ticket,1,Cash,Offline,20
337,CD0018,05-04-2020,1,2,Parking ticket,1,Cash,Offline,20
338,CD0020,30-12-2019,1,2,Parking ticket,3,Debit Card,Offline,20
339,CD0116,17-05-2020,1,2,Parking ticket,1,Cash,Online,20
340,CD0140,08-02-2020,1,1,Annual pass,3,Debit Card,Offline,700
341,CD0087,15-02-2020,1,1,Annual pass,1,Cash,Offline,700
342,CD0093,02-12-2019,0,3,Daily Pass,2,Credit Card,Offline,150
343,CD0134,15-01-2020,1,3,Daily Pass,4,Online Payment,Online,120
344,CD0065,19-12-2019,1,2,Parking ticket,4,Online Payment,Offline,20
345,CD0053,18-03-2020,1,3,Daily Pass,2,Credit Card,Online,120
346,CD0117,20-04-2020,1,3,Daily Pass,2,Credit Card,Offline,120
347,CD0001,08-08-2020,1,1,Annual pass,3,Debit Card,Online,700
348,CD0139,13-01-2020,1,1,Annual pass,2,Credit Card,Offline,700
349,CD0017,21-12-2019,0,2,Parking ticket,2,Credit Card,Offline,20
350,CD0051,23-04-2020,1,1,Annual pass,2,Credit Card,Online,700
351,CD0080,15-06-2020,1,2,Parking ticket,1,Cash,Offline,20
352,CD0096,13-04-2020,0,3,Daily Pass,2,Credit Card,Offline,150
353,CD0019,17-01-2020,0,3,Daily Pass,4,Online Payment,Offline,150
354,CD0068,22-05-2020,1,2,Parking ticket,3,Debit Card,Online,20
355,CD0068,02-11-2019,1,2,Parking ticket,2,Credit Card,Online,20
356,CD0113,08-03-2020,0,1,Annual pass,3,Debit Card,Online,800
357,CD0121,10-03-2020,1,1,Annual pass,4,Online Payment,Offline,700
358,CD0124,27-07-2020,1,3,Daily Pass,1,Cash,Offline,120
359,CD0116,04-01-2020,0,1,Annual pass,2,Credit Card,Online,800
360,CD0139,07-08-2020,0,2,Parking ticket,3,Debit Card,Offline,20
361,CD0030,23-05-2020,1,1,Annual pass,4,Online Payment,Online,700
362,CD0030,26-02-2020,1,1,Annual pass,4,Online Payment,Offline,700
363,CD0094,11-11-2019,1,2,Parking ticket,3,Debit Card,Online,20
364,CD0033,30-11-2019,0,3,Daily Pass,1,Cash,Online,150
365,CD0091,03-01-2020,0,2,Parking ticket,2,Credit Card,Offline,20
